,country,Confirmed,Deaths,Recovered,Incident_Rate,Case_Fatality_Ratio
0,Afghanistan,56454,2484,51550.0,145.02030795507056,4.400042512488043
1,Albania,125157,2235,91271.0,4349.051358676767,1.7857570890960952
2,Algeria,117192,3093,81538.0,267.2501997272904,2.639258652467745
3,Andorra,12010,115,11315.0,15543.907331909662,0.9575353871773522
4,Angola,22311,537,20493.0,67.88419056279831,2.406884496436735
5,Antigua and Barbuda,1136,28,820.0,1160.0359447757537,2.464788732394366
6,Argentina,2348821,55858,2102616.0,5196.99218800907,2.378129282733763
7,Armenia,192639,3515,173064.0,6500.971573625303,1.8246564818131323
8,Australia,29322,909,23012.0,74.088760459614,1.8733395710149976
9,Austria,546229,9339,501116.0,6064.8982945461,1.7097224790335188
10,Azerbaijan,261713,3567,238125.0,2581.206064595985,1.362943376905236
11,Bahamas,9119,188,8597.0,2318.892912360648,2.061629564645246
12,Bahrain,144445,521,135315.0,8488.860079114565,0.3606909204195369
13,Bangladesh,611295,9046,542099.0,371.180575738753,1.4798092573961834
14,Barbados,3652,42,3465.0,1270.8310859481298,1.1500547645125958
15,Belarus,321807,2247,312320.0,3405.609778734366,0.6982446000242382
16,Belgium,865923,0,0.0,7820.5944665972465,0.0
17,Belize,12456,317,12090.0,3132.6313248042734,2.5449582530507384
18,Benin,7100,90,6452.0,58.56540493688217,1.267605633802817
19,Bhutan,873,1,869.0,113.13976454487488,0.1145475372279496
20,Bolivia,272411,12257,221962.0,2333.678773521423,4.499451196904677
21,Bosnia and Herzegovina,169626,6599,130492.0,5170.239711778933,3.8903234174006345
22,Botswana,39848,568,36958.0,1694.4878541434114,1.4254165830154588
23,Brazil,12763392,322138,11181371.0,7438.7847847022995,2.319420039348785
24,Brunei,212,3,194.0,48.4590258364325,1.4150943396226414
25,Bulgaria,342633,13197,259561.0,4931.074506598239,3.851643011618846
26,Burkina Faso,12717,146,12385.0,60.83734809439936,1.1480695132499803
27,Burma,142434,3206,131800.0,261.78007584443344,2.250867068256175
28,Burundi,2810,6,773.0,23.631753036238745,0.2135231316725978
29,Cabo Verde,17470,168,16277.0,3142.15414721181,0.961648540354894
30,Cambodia,2440,11,1191.0,14.594199607140894,0.4508196721311475
31,Cameroon,47669,721,35261.0,179.57223015984712,1.5125133734712286
32,Canada,989467,22959,918555.0,1426.6349677899461,1.6140806437754909
33,Central African Republic,5161,67,4957.0,106.85822330035174,1.2981980236388295
34,Chad,4533,164,4140.0,27.596730253194064,3.617913081844253
35,Chile,995492,23134,931224.0,6188.251635659032,1.772865340522247
36,China,101732,4841,96536.0,10.084665262003416,0.814395096984181
37,Colombia,2406377,63422,2285515.0,3908.444194845847,2.883688661852423
38,Comoros,3696,146,3525.0,425.02544287858143,3.95021645021645
39,Congo (Brazzaville),9681,135,8208.0,175.44107637205033,1.394484040904865
40,Congo (Kinshasa),28142,743,25444.0,31.42201745743066,2.640181934475162
41,Costa Rica,216764,2957,192699.0,4255.185494474604,1.364156409735934
42,Cote d'Ivoire,43889,244,40254.0,166.38313157323594,0.5559479596254187
43,Croatia,271632,5947,254379.0,6616.669118800526,2.189359132944572
44,Cuba,75263,424,70614.0,664.4791348095495,0.5633578252262068
45,Cyprus,46105,257,2057.0,3818.6590423245407,0.5574232729638868
46,Czechia,1532332,26421,1366461.0,14308.848404077997,1.7242346958753063
47,Denmark,231295,2420,219676.0,1785.9592129001246,0.40009162848414065
48,Djibouti,8002,70,6460.0,809.9173888311967,0.8747813046738315
49,Dominica,161,0,153.0,223.6390659943604,0.0
50,Dominican Republic,252727,3325,212156.0,2329.7311628126504,1.3156489017793904
51,Ecuador,328755,16847,281684.0,1863.367239016361,5.124484798710286
52,Egypt,202131,11995,154694.0,197.52008520536344,5.934270349426857
53,El Salvador,64726,2006,61640.0,997.9030868762778,3.0992182430553408
54,Equatorial Guinea,6914,102,6495.0,492.8064091918303,1.4752675730402085
55,Eritrea,3285,10,3029.0,92.62843983536104,0.30441400304414
56,Estonia,106424,902,81859.0,8022.68157965955,0.8475531834924454
57,Eswatini,17337,667,16528.0,1494.357694257019,3.8472630789640654
58,Ethiopia,206589,2865,158109.0,179.69951406264016,1.3868114952877453
59,Fiji,67,2,64.0,7.473974949913212,2.985074626865672
60,Finland,77452,844,46000.0,1397.869373608258,1.0897071734751846
61,France,4705186,95798,301467.0,4107.426181349815,0.7382800750360313
62,Gabon,19550,118,16609.0,878.3642924921644,0.6035805626598465
63,Gambia,5459,165,5070.0,225.88990443023937,3.022531599193992
64,Georgia,281761,3778,273167.0,7063.139621600958,1.3408527085011763
65,Germany,2833503,76589,2539660.0,3338.6590270364604,2.8264265533845876
66,Ghana,90583,743,88065.0,291.517266869941,0.8202422088029763
67,Greece,263689,8093,93764.0,2529.862642971505,3.069145849845841
68,Grenada,155,1,152.0,137.7545125712102,0.6451612903225806
69,Guatemala,193834,6840,177235.0,1081.9305914236486,3.528792678271098
70,Guinea,19908,125,16619.0,151.59000462354084,0.6278882861161342
71,Guinea-Bissau,3650,63,2972.0,185.46766815819936,1.726027397260274
72,Guyana,10249,231,9098.0,1303.0173197433378,2.2538784271636256
73,Haiti,12758,252,11043.0,111.88742010218256,1.97523122746512
74,Holy See,27,0,15.0,3337.453646477132,0.0
75,Honduras,189043,4605,72732.0,1908.636868819039,2.435953724813931
76,Hungary,652433,20737,406935.0,6753.720103308886,3.1784106567264376
77,Iceland,6205,29,6058.0,1818.3150183150185,0.467365028203062
78,India,12221665,162927,11474683.0,1232.2072120932323,1.1574029449905534
79,Indonesia,1511712,40858,1348330.0,552.6806037713284,2.7027634893418853
80,Iran,1885564,62665,1617333.0,2244.9073793131192,3.3234088050047625
81,Iraq,850924,14323,759560.0,2115.542138190654,1.68322905453366
82,Ireland,235854,4687,23364.0,4776.503525054498,1.98724634731656
83,Israel,833105,6209,819665.0,9625.106044786802,0.7452842078729572
84,Italy,3584899,109346,2913045.0,5947.5258129576605,2.937174829659232
85,Jamaica,39237,596,17598.0,1325.0545985172707,1.5189744373932768
