Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
Maranhao,Brazil,2021-04-01 4:27,-4.9609,-45.2744,242401,6070,220903,15428,"Maranhao, Brazil",3426.074895,2.504115082
Mato Grosso,Brazil,2021-04-01 4:27,-12.6819,-56.9211,310337,7675,284856,16148,"Mato Grosso, Brazil",8854.900579,2.444368101
Mato Grosso do Sul,Brazil,2021-04-01 4:27,-20.7722,-54.7852,217457,4334,194999,16322,"Mato Grosso do Sul, Brazil",7758.153514,1.983784636
Minas Gerais,Brazil,2021-04-01 4:27,-18.5122,-44.555,1123913,24332,1005681,93900,"Minas Gerais, Brazil",5309.292345,2.164936254
Para,Brazil,2021-04-01 4:27,-1.9981,-54.9306,420372,10503,390166,16931,"Para, Brazil",4853.301778,2.497107944
Paraiba,Brazil,2021-04-01 4:27,-7.24,-36.782,259173,5744,183369,70060,"Paraiba, Brazil",6450.094783,2.216280245
Parana,Brazil,2021-04-01 4:27,-25.2521,-52.0215,846105,16717,589955,239433,"Parana, Brazil",7399.931625,1.97575951
Pernambuco,Brazil,2021-04-01 4:27,-8.8137,-36.9541,349231,12175,293723,43333,"Pernambuco, Brazil",3654.163498,3.486231176
Piaui,Brazil,2021-04-01 4:27,-7.7183,-42.7289,206631,4141,201169,0,"Piaui, Brazil",6263.085328,2.001902393
Rio Grande do Norte,Brazil,2021-04-01 4:27,-5.4026,-36.9541,197809,4548,142776,48978,"Rio Grande do Norte, Brazil",5596.499197,2.296431792
Rio Grande do Sul,Brazil,2021-04-01 4:27,-30.0346,-51.2177,845380,19736,801198,24446,"Rio Grande do Sul, Brazil",7430.449514,2.334571435
Rio de Janeiro,Brazil,2021-04-01 4:27,-22.9068,-43.1729,647875,36727,599767,11381,"Rio de Janeiro, Brazil",3752.546417,5.66884044
Rondonia,Brazil,2021-04-01 4:27,-11.5057,-63.5806,187270,4143,164607,18520,"Rondonia, Brazil",10537.21391,2.212313772
Roraima,Brazil,2021-04-01 4:27,-2.7376,-62.0751,89853,1346,84118,4066,"Roraima, Brazil",14778.93096,1.497905613
Santa Catarina,Brazil,2021-04-01 4:27,-27.2423,-50.2189,806929,10885,769659,26385,"Santa Catarina, Brazil",11262.42675,1.348941481
Sao Paulo,Brazil,2021-04-01 4:27,-23.5505,-46.6333,2469849,74652,2120478,274719,"Sao Paulo, Brazil",5378.70242,3.022532956
Sergipe,Brazil,2021-04-01 4:27,-10.5741,-37.3857,174600,3501,158658,12441,"Sergipe, Brazil",7595.610729,2.005154639
Tocantins,Brazil,2021-04-01 4:27,-10.1753,-48.2982,141913,2057,121515,17428,"Tocantins, Brazil",8962.93772,1.441390317
,Brunei,2021-04-01 4:27,4.5353,114.7277,212,3,194,15,Brunei,48.45902584,1.41509434
,Bulgaria,2021-04-01 4:27,42.7339,25.4858,342633,13197,259561,69875,Bulgaria,4931.074507,3.851643012
,Burkina Faso,2021-04-01 4:27,12.2383,-1.5616,12717,146,12385,186,Burkina Faso,60.83734809,1.148069513
,Burma,2021-04-01 4:27,21.9162,95.956,142434,3206,131800,7428,Burma,261.7800758,2.250867068
,Burundi,2021-04-01 4:27,-3.3731,29.9189,2810,6,773,2031,Burundi,23.63175304,0.213523132
,Cabo Verde,2021-04-01 4:27,16.5388,-23.0418,17470,168,16277,1025,Cabo Verde,3142.154147,0.96164854
,Cambodia,2021-04-01 4:27,11.55,104.9167,2440,11,1191,1238,Cambodia,14.59419961,0.450819672
,Cameroon,2021-04-01 4:27,3.848,11.5021,47669,721,35261,11687,Cameroon,179.5722302,1.512513373
Alberta,Canada,2021-04-01 4:27,53.9333,-116.5765,148332,1990,137992,8350,"Alberta, Canada",3338.645955,1.341585093
British Columbia,Canada,2021-04-01 4:27,53.7267,-127.6476,100048,1458,91066,7524,"British Columbia, Canada",1918.537702,1.457300496
Diamond Princess,Canada,2020-12-21 13:27,,,0,1,0,0,"Diamond Princess, Canada",,
Grand Princess,Canada,2020-12-21 13:27,,,13,0,13,0,"Grand Princess, Canada",,0
Manitoba,Canada,2021-04-01 4:27,53.7609,-98.8139,34122,935,32006,1181,"Manitoba, Canada",2465.881129,2.740167634
New Brunswick,Canada,2021-04-01 4:27,46.5653,-66.4619,1613,30,1447,136,"New Brunswick, Canada",204.3777123,1.859888407
Newfoundland and Labrador,Canada,2021-04-01 4:27,53.1355,-57.6604,1019,6,1006,7,"Newfoundland and Labrador, Canada",195.7533623,0.588812561
Northwest Territories,Canada,2021-04-01 4:27,64.8255,-124.8457,47,0,47,0,"Northwest Territories,Canada",103.2876231,0
Nova Scotia,Canada,2021-04-01 4:27,44.682,-63.7443,1716,66,1627,23,"Nova Scotia, Canada",172.9742807,3.846153846
Nunavut,Canada,2021-04-01 4:27,70.2998,-83.1076,395,4,391,0,"Nunavut, Canada",1002.461741,1.012658228
Ontario,Canada,2021-04-01 4:27,51.2538,-85.3232,356576,7366,329652,19558,"Ontario, Canada",2405.027399,2.065758772
Prince Edward Island,Canada,2021-04-01 4:27,46.5107,-63.4168,159,0,145,14,"Prince Edward Island, Canada",96.76359255,0
Quebec,Canada,2021-04-01 4:27,52.9399,-73.5491,311776,10667,291906,9203,"Quebec, Canada",3623.408463,3.421366622
Repatriated Travellers,Canada,2021-04-01 4:27,,,13,0,13,0,"Repatriated Travellers, Canada",,0
Saskatchewan,Canada,2021-04-01 4:27,52.9399,-106.4509,33590,436,31199,1955,"Saskatchewan, Canada",2846.986551,1.298005359
Yukon,Canada,2021-04-01 4:27,64.2823,-135,74,1,71,2,"Yukon, Canada",172.1490718,1.351351351
,Central African Republic,2021-04-01 4:27,6.6111,20.9394,5161,67,4957,137,Central African Republic,106.8582233,1.298198024
,Chad,2021-04-01 4:27,15.4542,18.7322,4533,164,4140,229,Chad,27.59673025,3.617913082
Antofagasta,Chile,2021-04-01 4:27,-23.6509,-70.3975,43243,867,41196,1180,"Antofagasta, Chile",7117.790938,2.004948778
Araucania,Chile,2021-04-01 4:27,-38.9489,-72.3311,54915,671,51266,2978,"Araucania, Chile",5736.901707,1.221888373
Arica y Parinacota,Chile,2021-04-01 4:27,-18.594,-69.4785,17399,350,16499,550,"Arica y Parinacota, Chile",7696.356848,2.011609863
Atacama,Chile,2021-04-01 4:27,-27.5661,-70.0503,14282,170,13602,510,"Atacama, Chile",4942.826292,1.19030948
Aysen,Chile,2021-04-01 4:27,-45.9864,-73.7669,3531,28,3386,117,"Aysen, Chile",3422.904671,0.792976494
Biobio,Chile,2021-04-01 4:27,-37.4464,-72.1416,95470,1557,89123,4790,"Biobio, Chile",6132.431486,1.63087881
Coquimbo,Chile,2021-04-01 4:27,-29.959,-71.3389,26875,508,25259,1108,"Coquimbo, Chile",3547.452038,1.890232558
Los Lagos,Chile,2021-04-01 4:27,-41.9198,-72.1416,60819,794,58420,1605,"Los Lagos, Chile",7339.014466,1.30551308
Los Rios,Chile,2021-04-01 4:27,-40.231,-72.3311,27478,304,25542,1632,"Los Rios, Chile",7140.165836,1.106339617
Magallanes,Chile,2021-04-01 4:27,-52.368,-70.9863,23107,345,22476,286,"Magallanes, Chile",13875.32801,1.493054053
Maule,Chile,2021-04-01 4:27,-35.5183,-71.6885,54132,989,49997,3146,"Maule, Chile",5180.343557,1.827015444
Metropolitana,Chile,2021-04-01 4:27,-33.4376,-70.6505,419769,12868,392112,14789,"Metropolitana, Chile",5901.593295,3.065495546
Nuble,Chile,2021-04-01 4:27,-36.7226,-71.7622,21360,403,19910,1047,"Nuble, Chile",4444.361217,1.88670412
OHiggins,Chile,2021-04-01 4:27,-34.5755,-71.0022,38436,890,35429,2117,"OHiggins, Chile",4202.699674,2.315537517
Tarapaca,Chile,2021-04-01 4:27,-19.9232,-69.5132,28766,509,27204,1053,"Tarapaca, Chile",8702.254975,1.769450045
Unknown,Chile,2021-04-01 4:27,,,46,1,46,0,"Unknown, Chile",,2.173913043
