,country,Confirmed,Deaths,Recovered,Incident_Rate,Case_Fatality_Ratio
103,Luxembourg,61642,746,57092.0,9847.34239,1.210213815
104,MS Zaandam,9,2,7.0,,22.22222222
105,Madagascar,24426,418,21908.0,88.20910491,1.711291247
106,Malawi,33551,1117,30272.0,175.3846258,3.329259933
107,Malaysia,345500,1272,329623.0,964.89327051875,0.4035893883125
108,Maldives,24079,67,21155.0,4454.602973,0.278250758
109,Mali,10042,385,6830.0,49.58808116,3.83389763
110,Malta,29033,392,27812.0,6575.4101,1.350187717
111,Marshall Islands,4,0,4.0,6.847790732,0.0
112,Mauritania,17847,449,17093.0,383.8345169,2.515828991
113,Mauritius,1028,12,643.0,80.83241663,1.167315175
114,Mexico,2238887,203210,1773236.0,1680.546923234375,10.56184019453125
115,Micronesia,1,0,1.0,0.878618811,0.0
116,Moldova,230241,4960,207852.0,5707.563505,2.154264445
117,Monaco,2288,28,2115.0,5830.190602,1.223776224
118,Mongolia,8841,8,5070.0,269.6831155,0.090487501
119,Montenegro,91218,1274,83498.0,14523.72536,1.396654169
120,Morocco,496097,8818,483363.0,1344.051748,1.77747497
121,Mozambique,67579,775,56409.0,216.2151959,1.14680596
122,Namibia,44139,523,41848.0,1737.129445,1.184893178
123,Nepal,277309,3030,272786.0,951.7480432,1.092643946
124,Netherlands,1292806,16689,16209.0,6259.27536299375,1.1363428242352942
125,New Zealand,2501,26,2408.0,25.93196969,1.039584166
126,Nicaragua,6677,178,4225.0,100.791691,2.665867905
127,Niger,5001,186,4590.0,20.65962408,3.719256149
128,Nigeria,162891,2057,151648.0,79.01975665,1.262807644
129,North Macedonia,130022,3781,106979.0,6240.916203,2.907969421
130,Norway,96079,673,17998.0,1772.269159,0.700465242
131,Oman,159218,1678,143966.0,3117.873224,1.053900941
132,Pakistan,672931,14530,605274.0,705.1780469428571,2.0163791669999998
133,Palau,0,0,0.0,0.0,
134,Panama,355051,6114,343904.0,8228.739065,1.722006134
135,Papua New Guinea,5991,60,846.0,66.96079044,1.001502253
